,traning_size,score
0,1,0.49792913707263126
1,2,0.5285115082746982
2,3,0.3134951403893149
3,4,0.42457741929824777
4,5,0.4865998461256544
5,6,0.3480917006247628
6,7,0.21765202880653722
7,8,0.5500800097545282
8,9,0.495047690596826
9,10,0.6805346956363005
