,traning_size,score
0,1,0.5866543134209641
1,2,0.5232068621818136
2,3,0.3781936221516241
3,4,0.3534331034327144
4,5,0.5758973578119946
5,6,0.32430805627904147
6,7,0.24215687458681787
7,8,0.5798395405762713
8,9,0.43660847097610855
9,10,0.5531183298158859
