,n_of_feature,score
0,0,-0.2214166873690479
1,1,0.06794910273808248
2,2,0.16689786800327572
3,3,0.21051338077789628
4,4,0.25041437950263734
5,5,0.26079448969746355
6,6,0.2668746220494283
7,7,0.2870423222551323
8,8,0.2893683256590384
9,9,0.29015657462855504
10,10,0.2949129327011269
11,11,0.3003254972717402
12,12,0.30736768433086026
13,13,0.31053040792078124
14,14,0.30633476525913383
15,15,0.30821512824427033
16,16,0.31982561770674434
17,17,0.3047583870540014
18,18,0.31268211695529013
19,19,0.3130207711063159
20,20,0.3143754868813275
21,21,0.30225362917648985
22,22,0.3097944443823149
23,23,0.3074244370436192
24,24,0.3058817778725282
25,25,0.30005489818709696
26,26,0.3078763008597002
27,27,0.3062228821958293
28,28,0.3063510177808261
29,29,0.3113649646039207
30,30,0.310759718660412
31,31,0.3126954950853597
32,32,0.3102856991543994
33,33,0.3047123340187439
34,34,0.30943061136285266
35,35,0.30970353299584824
36,36,0.3111303208739186
37,37,0.309420908500975
38,38,0.30708448877181754
39,39,0.31210014643334344
40,40,0.3099599547632747
41,41,0.3118740534194958
42,42,0.31362863212316466
43,43,0.3115881355913185
44,44,0.30618408715831624
45,45,0.3117821224188484
46,46,0.3091532718831402
47,47,0.31479261502462247
48,48,0.3100186671639577
49,49,0.31674576928364206
50,50,0.30933193003363535
51,51,0.3126690971167972
52,52,0.3110393174676873
53,53,0.30639276586601255
54,54,0.3047707606448865
55,55,0.3088344413804961
56,56,0.3103388453811286
57,57,0.3165455491925226
58,58,0.31514180187486646
59,59,0.31567444862660043
60,60,0.30807813435606024
61,61,0.31303531681679064
62,62,0.31726599462273697
63,63,0.3148003971666373
64,64,0.3101590687617559
65,65,0.31148816204595436
66,66,0.3139717649935902
67,67,0.3135206600649037
68,68,0.30919717007328357
69,69,0.30904476665097
70,70,0.30953820066747983
71,71,0.3147934213625758
72,72,0.3114967215480503
73,73,0.31154603867842867
74,74,0.31507046036479597
75,75,0.3048723765495285
76,76,0.3063150739479409
77,77,0.30459202337459673
78,78,0.31031633900698874
79,79,0.31188987778680477
80,80,0.30479691873518544
81,81,0.31018847858407583
82,82,0.3016936615790863
83,83,0.3127831589030018
84,84,0.30481437141794887
85,85,0.31438043530343907
86,86,0.307745250247751
87,87,0.31738685406916095
88,88,0.31276512060194006
89,89,0.30607949564799264
90,90,0.31057037749535066
91,91,0.30841584361296903
92,92,0.3121168138815087
93,93,0.3093308252172534
94,94,0.3097011200558196
95,95,0.3105506775767276
96,96,0.3073497922158891
97,97,0.3075407857356788
98,98,0.30756448221395727
99,99,0.31159209499909274
100,100,0.3141466729590697
101,101,0.3091575581480514
102,102,0.3156293047407913
103,103,0.30699800812476463
104,104,0.3174451978854027
105,105,0.31026639281760415
106,106,0.31241947051902075
107,107,0.3100569134356805
108,108,0.3157367602108761
109,109,0.30932757907807185
110,110,0.3096666703849678
111,111,0.3134361435441684
112,112,0.31565539989293273
113,113,0.3086854071000393
114,114,0.31555719699805307
115,115,0.31346564580972264
116,116,0.310037339136806
117,117,0.3058956382541375
118,118,0.3097317083107881
119,119,0.3105525613829151
120,120,0.31668453362821075
121,121,0.3082550859612596
122,122,0.3161195534384116
123,123,0.3120744937565259
124,124,0.3205465160396333
125,125,0.3113473352105876
126,126,0.3157123596426227
127,127,0.3066974065187525
128,128,0.3084971670776434
129,129,0.3128527247972882
130,130,0.3072668750127963
131,131,0.3149538890369343
132,132,0.3133165195703666
133,133,0.31114403067617014
134,134,0.30605343628631265
135,135,0.3054761799426269
136,136,0.31013863005407466
137,137,0.30488420997777765
138,138,0.31149007910226023
139,139,0.31344667857702624
140,140,0.3147196461671399
141,141,0.3118833227970338
142,142,0.3134042832679194
143,143,0.3092315790081771
144,144,0.31298665513618473
145,145,0.31173730488934764
146,146,0.3166942331297986
147,147,0.3136766615710371
148,148,0.31386988669765736
149,149,0.31032856739419545
150,150,0.3098379625465203
