,feature,rank
143,audspec_lengthL1norm_sma_de_amean,122
62,audSpec_Rfilt_sma[21]_stddev,123
192,audSpec_Rfilt_sma_de[21]_stddev,124
252,pcm_fftMag_mfcc_sma_de[11]_stddev,125
122,pcm_fftMag_mfcc_sma[11]_stddev,126
100,pcm_fftMag_spectralHarmonicity_sma_stddev,127
108,pcm_fftMag_mfcc_sma[4]_stddev,128
1,F0final_sma_amean,129
45,audSpec_Rfilt_sma[12]_amean,130
256,pcm_fftMag_mfcc_sma_de[13]_stddev,131
231,pcm_fftMag_spectralHarmonicity_sma_de_amean,132
185,audSpec_Rfilt_sma_de[17]_amean,133
25,audSpec_Rfilt_sma[2]_amean,134
205,pcm_fftMag_fband1000-4000_sma_de_amean,135
6,jitterDDP_sma_stddev,136
161,audSpec_Rfilt_sma_de[5]_amean,137
84,pcm_fftMag_spectralFlux_sma_stddev,138
159,audSpec_Rfilt_sma_de[4]_amean,139
135,jitterLocal_sma_de_amean,140
195,audSpec_Rfilt_sma_de[22]_amean,141
21,audSpec_Rfilt_sma[0]_amean,142
217,pcm_fftMag_spectralCentroid_sma_de_amean,143
211,pcm_fftMag_spectralRollOff75.0_sma_de_amean,144
180,audSpec_Rfilt_sma_de[15]_stddev,145
138,shimmerLocal_sma_de_stddev,146
9,shimmerLocal_sma_amean,147
95,pcm_fftMag_spectralKurtosis_sma_amean,148
139,shimmerLocal_sma_de_amean,149
118,pcm_fftMag_mfcc_sma[9]_stddev,150
43,audSpec_Rfilt_sma[11]_amean,151
132,voicingFinalUnclipped_sma_de_stddev,152
221,pcm_fftMag_spectralVariance_sma_de_amean,153
29,audSpec_Rfilt_sma[4]_amean,154
207,pcm_fftMag_spectralRollOff25.0_sma_de_amean,155
193,audSpec_Rfilt_sma_de[21]_amean,156
114,pcm_fftMag_mfcc_sma[7]_stddev,157
203,pcm_fftMag_fband250-650_sma_de_amean,158
246,pcm_fftMag_mfcc_sma_de[8]_stddev,159
234,pcm_fftMag_mfcc_sma_de[2]_stddev,160
127,pcm_fftMag_mfcc_sma[13]_amean,161
175,audSpec_Rfilt_sma_de[12]_amean,162
158,audSpec_Rfilt_sma_de[4]_stddev,163
171,audSpec_Rfilt_sma_de[10]_amean,164
11,logHNR_sma_amean,165
18,pcm_zcr_sma_stddev,166
119,pcm_fftMag_mfcc_sma[9]_amean,167
83,pcm_fftMag_spectralRollOff90.0_sma_amean,168
183,audSpec_Rfilt_sma_de[16]_amean,169
149,pcm_zcr_sma_de_amean,170
181,audSpec_Rfilt_sma_de[15]_amean,171
65,audSpec_Rfilt_sma[22]_amean,172
239,pcm_fftMag_mfcc_sma_de[4]_amean,173
233,pcm_fftMag_mfcc_sma_de[1]_amean,174
201,audSpec_Rfilt_sma_de[25]_amean,175
106,pcm_fftMag_mfcc_sma[3]_stddev,176
24,audSpec_Rfilt_sma[2]_stddev,177
35,audSpec_Rfilt_sma[7]_amean,178
32,audSpec_Rfilt_sma[6]_stddev,179
90,pcm_fftMag_spectralVariance_sma_stddev,180
113,pcm_fftMag_mfcc_sma[6]_amean,181
137,jitterDDP_sma_de_amean,182
116,pcm_fftMag_mfcc_sma[8]_stddev,183
167,audSpec_Rfilt_sma_de[8]_amean,184
202,pcm_fftMag_fband250-650_sma_de_stddev,185
237,pcm_fftMag_mfcc_sma_de[3]_amean,186
162,audSpec_Rfilt_sma_de[6]_stddev,187
227,pcm_fftMag_spectralSlope_sma_de_amean,188
147,pcm_RMSenergy_sma_de_amean,189
148,pcm_zcr_sma_de_stddev,190
23,audSpec_Rfilt_sma[1]_amean,191
22,audSpec_Rfilt_sma[1]_stddev,192
151,audSpec_Rfilt_sma_de[0]_amean,193
73,pcm_fftMag_fband250-650_sma_amean,194
255,pcm_fftMag_mfcc_sma_de[12]_amean,195
216,pcm_fftMag_spectralCentroid_sma_de_stddev,196
213,pcm_fftMag_spectralRollOff90.0_sma_de_amean,197
169,audSpec_Rfilt_sma_de[9]_amean,198
117,pcm_fftMag_mfcc_sma[8]_amean,199
249,pcm_fftMag_mfcc_sma_de[9]_amean,200
206,pcm_fftMag_spectralRollOff25.0_sma_de_stddev,201
46,audSpec_Rfilt_sma[13]_stddev,202
123,pcm_fftMag_mfcc_sma[11]_amean,203
187,audSpec_Rfilt_sma_de[18]_amean,204
229,pcm_fftMag_psySharpness_sma_de_amean,205
107,pcm_fftMag_mfcc_sma[3]_amean,206
242,pcm_fftMag_mfcc_sma_de[6]_stddev,207
15,audspecRasta_lengthL1norm_sma_amean,208
121,pcm_fftMag_mfcc_sma[10]_amean,209
63,audSpec_Rfilt_sma[21]_amean,210
104,pcm_fftMag_mfcc_sma[2]_stddev,211
93,pcm_fftMag_spectralSkewness_sma_amean,212
172,audSpec_Rfilt_sma_de[11]_stddev,213
33,audSpec_Rfilt_sma[6]_amean,214
141,logHNR_sma_de_amean,215
251,pcm_fftMag_mfcc_sma_de[10]_amean,216
235,pcm_fftMag_mfcc_sma_de[2]_amean,217
258,pcm_fftMag_mfcc_sma_de[14]_stddev,218
53,audSpec_Rfilt_sma[16]_amean,219
111,pcm_fftMag_mfcc_sma[5]_amean,220
196,audSpec_Rfilt_sma_de[23]_stddev,221
8,shimmerLocal_sma_stddev,222
39,audSpec_Rfilt_sma[9]_amean,223
173,audSpec_Rfilt_sma_de[11]_amean,224
10,logHNR_sma_stddev,225
47,audSpec_Rfilt_sma[13]_amean,226
223,pcm_fftMag_spectralSkewness_sma_de_amean,227
209,pcm_fftMag_spectralRollOff50.0_sma_de_amean,228
225,pcm_fftMag_spectralKurtosis_sma_de_amean,229
243,pcm_fftMag_mfcc_sma_de[6]_amean,230
236,pcm_fftMag_mfcc_sma_de[3]_stddev,231
259,pcm_fftMag_mfcc_sma_de[14]_amean,232
72,pcm_fftMag_fband250-650_sma_stddev,233
191,audSpec_Rfilt_sma_de[20]_amean,234
241,pcm_fftMag_mfcc_sma_de[5]_amean,235
94,pcm_fftMag_spectralKurtosis_sma_stddev,236
40,audSpec_Rfilt_sma[10]_stddev,237
92,pcm_fftMag_spectralSkewness_sma_stddev,238
37,audSpec_Rfilt_sma[8]_amean,239
64,audSpec_Rfilt_sma[22]_stddev,240
157,audSpec_Rfilt_sma_de[3]_amean,241
131,F0final_sma_de_amean,242
126,pcm_fftMag_mfcc_sma[13]_stddev,243
160,audSpec_Rfilt_sma_de[5]_stddev,244
115,pcm_fftMag_mfcc_sma[7]_amean,245
215,pcm_fftMag_spectralFlux_sma_de_amean,246
38,audSpec_Rfilt_sma[9]_stddev,247
105,pcm_fftMag_mfcc_sma[2]_amean,248
219,pcm_fftMag_spectralEntropy_sma_de_amean,249
75,pcm_fftMag_fband1000-4000_sma_amean,250
247,pcm_fftMag_mfcc_sma_de[8]_amean,251
245,pcm_fftMag_mfcc_sma_de[7]_amean,252
199,audSpec_Rfilt_sma_de[24]_amean,253
4,jitterLocal_sma_stddev,254
253,pcm_fftMag_mfcc_sma_de[11]_amean,255
101,pcm_fftMag_spectralHarmonicity_sma_amean,256
257,pcm_fftMag_mfcc_sma_de[13]_amean,257
133,voicingFinalUnclipped_sma_de_amean,258
145,audspecRasta_lengthL1norm_sma_de_amean,259
125,pcm_fftMag_mfcc_sma[12]_amean,260
