,n_of_feature,score
0,0,0.18574413530141756
1,1,0.19429902398684135
2,2,0.21356872387308828
3,3,0.21725501394233532
4,4,0.22634700034861113
5,5,0.22660086371947527
6,6,0.22724892468068955
7,7,0.22633886094334135
8,8,0.22649257595746103
9,9,0.22674231498735792
10,10,0.22681698343152767
11,11,0.22666879970353496
12,12,0.22671627477652856
13,13,0.22692839312275348
14,14,0.22701255448600835
15,15,0.2268916442063415
16,16,0.22679296579864036
17,17,0.22675896252516167
18,18,0.22686055525110538
19,19,0.22690088924817572
20,20,0.2268757920940927
21,21,0.22688586681748327
22,22,0.22690980505957947
23,23,0.22692037940534351
24,24,0.22692086539886436
25,25,0.22694758660610415
26,26,0.22698332129816962
27,27,0.22702247057516872
28,28,0.22698469449311126
29,29,0.22698733747572378
30,30,0.22699456365989795
31,31,0.22698946242299378
32,32,0.22695410620535378
33,33,0.22697590064519207
34,34,0.2270087185367459
35,35,0.22699451415187344
36,36,0.22698737262711738
37,37,0.22699337407631343
38,38,0.2269937203742634
39,39,0.2270109404698772
40,40,0.22699992203550753
41,41,0.2269974927028171
42,42,0.2270131414376487
43,43,0.22699151047234745
44,44,0.22699151800667092
45,45,0.22698205813551714
46,46,0.22700686649975782
47,47,0.22698995167402874
48,48,0.22697460524504293
49,49,0.22698836802835398
50,50,0.2269880000684949
51,51,0.2270055625688941
52,52,0.2269931802207898
53,53,0.2269838873141538
54,54,0.22698466429894243
55,55,0.22698682397811593
56,56,0.22697092390013845
57,57,0.22697440050310083
58,58,0.22697290849521515
59,59,0.22697673695558623
60,60,0.22697969680325242
61,61,0.22696948878457465
62,62,0.22696615205579146
63,63,0.22696035867129835
64,64,0.22695005983503552
65,65,0.22695022836611978
66,66,0.22693485791670245
67,67,0.2269254887035991
68,68,0.22692545095767347
69,69,0.22692641987906695
70,70,0.2269197413985682
71,71,0.22691831315050695
72,72,0.22692975484219705
73,73,0.2269243810491795
74,74,0.2269263980269287
75,75,0.22692947069780586
76,76,0.22693005844922137
77,77,0.2269300584492214
78,78,0.22693037073221803
79,79,0.22693005844922146
80,80,0.22693037073221806
81,81,0.22693005844922137
82,82,0.22692830181369567
83,83,0.22692830181369567
84,84,0.2269303707322181
85,85,0.22693037073221803
86,86,0.22693037073221806
87,87,0.22693005844922137
88,88,0.22693005844922137
89,89,0.22693005844922137
90,90,0.22693005844922137
91,91,0.22692830181369583
92,92,0.22693005844922137
93,93,0.22693037073221803
94,94,0.22693005844922146
95,95,0.2269300584492214
96,96,0.22693037073221803
97,97,0.22693037073221806
98,98,0.22693005844922137
99,99,0.22692830181369567
100,100,0.2269300584492214
101,101,0.22693005844922137
102,102,0.2269300584492214
103,103,0.22692830181369567
104,104,0.22693005844922137
105,105,0.22693005844922146
106,106,0.22692830181369575
107,107,0.22693005844922137
108,108,0.22693005844922137
109,109,0.22693005844922132
110,110,0.22693037073221803
111,111,0.2269300584492214
112,112,0.2269300584492214
113,113,0.2269300584492214
114,114,0.22693005844922137
115,115,0.2269300584492214
116,116,0.22693005844922137
117,117,0.2269300584492214
118,118,0.22692830181369575
119,119,0.22693005844922146
120,120,0.22693005844922146
121,121,0.22692830181369575
122,122,0.2269300584492214
123,123,0.22693037073221803
124,124,0.22692830181369567
125,125,0.22693005844922137
126,126,0.22693005844922132
127,127,0.22693037073221803
128,128,0.22692830181369575
129,129,0.22693005844922132
130,130,0.22692830181369575
131,131,0.22692830181369567
132,132,0.22693037073221803
133,133,0.2269300584492214
134,134,0.22693037073221803
135,135,0.2269300584492214
136,136,0.2269300584492214
137,137,0.22693037073221803
138,138,0.22693037073221803
139,139,0.22693037073221803
140,140,0.22692830181369575
141,141,0.22693005844922137
142,142,0.22693037073221803
143,143,0.2269283018136957
144,144,0.22693005844922146
145,145,0.2269300584492214
146,146,0.2269303707322181
147,147,0.2269283018136957
148,148,0.22693005844922137
149,149,0.22693005844922137
150,150,0.22693005844922132
151,151,0.2269300584492214
152,152,0.22692830181369575
153,153,0.22693005844922146
154,154,0.22693005844922137
155,155,0.2269300584492214
156,156,0.22693037073221803
157,157,0.22693037073221803
158,158,0.2269283018136957
159,159,0.2269300584492214
160,160,0.22693037073221803
161,161,0.22692830181369567
162,162,0.2269300584492214
163,163,0.22693005844922137
164,164,0.22693005844922137
165,165,0.2269300584492214
166,166,0.22693037073221806
167,167,0.22693005844922137
168,168,0.22693037073221803
169,169,0.2269283018136957
170,170,0.22693037073221806
171,171,0.22693037073221803
172,172,0.2269300584492214
173,173,0.22693037073221803
174,174,0.22692830181369575
175,175,0.22692830181369575
176,176,0.2269300584492214
177,177,0.22693037073221803
178,178,0.22693005844922137
179,179,0.22693037073221806
180,180,0.22693005844922132
181,181,0.22693005844922137
182,182,0.22693037073221803
183,183,0.22693037073221803
184,184,0.22693005844922132
185,185,0.2269300584492214
186,186,0.2269300584492214
187,187,0.22693037073221803
188,188,0.2269300584492214
189,189,0.22693037073221803
190,190,0.22693037073221803
191,191,0.22693005844922132
192,192,0.22692830181369567
193,193,0.22693037073221803
194,194,0.2269300584492214
195,195,0.22693005844922132
196,196,0.2269300584492214
197,197,0.22693005844922137
198,198,0.22692830181369567
199,199,0.2269283018136957
200,200,0.22693005844922137
201,201,0.22693005844922137
202,202,0.22693005844922137
203,203,0.22693005844922137
204,204,0.2269300584492214
205,205,0.2269300584492214
206,206,0.22693037073221803
207,207,0.2269300584492214
208,208,0.22693005844922132
209,209,0.2269300584492214
210,210,0.2269283018136957
211,211,0.22693005844922137
212,212,0.22693005844922137
213,213,0.22693037073221803
214,214,0.22693005844922146
215,215,0.22692830181369578
216,216,0.22693005844922146
217,217,0.2269300584492214
218,218,0.22693037073221803
219,219,0.22693005844922137
220,220,0.22693005844922132
221,221,0.22692830181369575
222,222,0.2269303707322181
223,223,0.22693037073221803
224,224,0.22693037073221803
225,225,0.2269300584492214
226,226,0.22693005844922137
227,227,0.22693005844922137
228,228,0.22692830181369575
229,229,0.22693005844922137
230,230,0.22692830181369567
231,231,0.22693037073221803
232,232,0.22693037073221803
233,233,0.22693037073221803
234,234,0.22692830181369567
235,235,0.2269283018136957
236,236,0.22693005844922132
237,237,0.22692830181369578
238,238,0.22693005844922137
239,239,0.22692830181369575
240,240,0.22693037073221803
241,241,0.22692830181369575
242,242,0.22693037073221803
243,243,0.22693037073221803
244,244,0.22693037073221803
245,245,0.2269300584492214
246,246,0.22692830181369578
247,247,0.22693005844922146
248,248,0.22693005844922137
249,249,0.2269283018136957
250,250,0.22693005844922137
251,251,0.22693005844922137
252,252,0.22693005844922137
253,253,0.2269300584492214
254,254,0.22693037073221803
255,255,0.22693005844922137
256,256,0.22693037073221803
257,257,0.22693005844922137
258,258,0.2269300584492214
259,259,0.22693037073221803
